#group,false,false,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_time,_value,_field,_measurement,code,crypto,description,symbol
,,0,2023-08-31T13:23:00Z,26467.8959,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T13:33:00Z,26450.2075,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T13:47:00Z,26450.8296,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T14:04:00Z,26466.5173,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T14:20:00Z,26397.8847,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T14:33:00Z,26436.7133,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T14:47:00Z,26431.4299,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T15:04:00Z,26457.1551,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T15:20:00Z,26445.9689,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T15:33:00Z,26435.311,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T15:47:00Z,26248.1873,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T16:04:00Z,26225.1146,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T16:22:00Z,26142.7714,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T16:34:00Z,25886.6437,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T16:47:00Z,25753.3026,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T17:04:00Z,25633.1082,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T17:20:00Z,25613.2405,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T17:33:00Z,25663.64,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T17:47:00Z,25635.0989,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T18:04:00Z,25660.1796,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T18:22:00Z,25633.4075,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T18:32:00Z,25627.7917,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T18:47:00Z,25568.0032,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T19:03:00Z,25621.985,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T19:17:00Z,25506.8863,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T19:32:00Z,25534.9375,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T19:47:00Z,25556.407,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T20:04:00Z,25441.1669,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T20:19:00Z,25449.6591,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T20:33:00Z,25493.179,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T20:48:00Z,25423.0834,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T21:03:00Z,25347.224,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T21:18:00Z,25293.5673,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T21:32:00Z,25265.4031,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T21:47:00Z,25289.0002,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T22:03:00Z,25323.7917,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T22:20:00Z,25332.2009,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T22:32:00Z,25327.9719,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T22:47:00Z,25328.7848,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T23:04:00Z,25369.592,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T23:19:00Z,25332.1727,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T23:33:00Z,25306.3116,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-08-31T23:47:00Z,25285.6439,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T00:18:00Z,25349.6866,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T00:47:00Z,25384.5781,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T01:27:00Z,25315.0757,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T01:51:00Z,25318.5859,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T02:11:00Z,25318.4635,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T02:25:00Z,25341.4777,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T02:35:00Z,25367.379,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T02:47:00Z,25400.9815,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T03:04:00Z,25378.8972,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T03:19:00Z,25385.3738,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T03:33:00Z,25387.7269,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T03:48:00Z,25407.3742,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T04:04:00Z,25409.523,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T04:21:00Z,25392.5405,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T04:33:00Z,25371.8669,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T04:47:00Z,25364.6783,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T05:04:00Z,25358.8219,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T05:20:00Z,25353.4406,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T05:32:00Z,25347.4594,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T05:47:00Z,25369.789,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T06:04:00Z,25369.8796,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T06:22:00Z,25366.5411,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T06:33:00Z,25341.4354,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T06:47:00Z,25344.8778,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T07:04:00Z,25331.1888,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T07:18:00Z,25336.429,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T07:32:00Z,25305.0716,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T07:47:00Z,25322.6006,price,coindesk,EUR,bitcoin,Euro,&euro;
,,0,2023-09-01T08:04:00Z,25325.6832,price,coindesk,EUR,bitcoin,Euro,&euro;
