wind_dir_degt,wind_speed_mps,gust_speed_mps,significant_wave_height_m,dominant_wave_period_sec,avg_wave_period_sec,wave_dir_degt,sea_level_pressure_hpa,air_temp_degc,sea_surface_temp_degc,dewpoint_temp_degc,station_visibility_nmi,pressure_tendency_hpa,water_level_ft,station_id,lat,lon,station_elev,station_name,station_owner,station_pgm,station_type,station_met,station_currents,station_waterquality,station_dart,timestamp
36,5.3,6.5,,,,,1012.9,,28,28.4,,,,"13001",12,-23,0,"NE Extension","Prediction and Research Moored Array in the Atlantic","International Partners","buoy","y","n","n","n",1729839600000000000
80,5.5,6.6,,,,,1013.2,,27.3,27.8,,,,"13008",15,-38,0,"Reggae","Prediction and Research Moored Array in the Atlantic","International Partners","buoy","y","n","n","n",1729839600000000000
,,,,,,,,,,29.4,,,,"14048",-8,65,0,"","Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction","International Partners","buoy","y","n","n","n",1729839600000000000
59,7.3,8.4,,,,,1013,,27.1,28.3,,,,"14049",-12,65,0,"","Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction","International Partners","buoy","y","n","n","n",1729839600000000000
131,6.6,7.6,,,,,,,24.2,24.7,,,,"15006",-6,-10,0,"Valse","Prediction and Research Moored Array in the Atlantic","International Partners","buoy","y","n","n","n",1729839600000000000
,,,,,,,,,,,,,,"15008",-20,-10,0,"","Prediction and Research Moored Array in the Atlantic","International Partners","other","y","n","n","n",1729839600000000000
358,4.2,4.6,1.3,8,,,1013.1,,14.1,13.8,14,,,"1801593",37.35,-122.92,0,"SD 1077 - 24 NM SSW of San Francisco, CA (Site of 46012)","NDBC","NDBC Meteorological/Ocean","usv","y","n","n","n",1729841400000000000
40,4,,0,6,,,,,18.5,21.5,,,,"22101",37.24,126.02,0,"","Korean Meteorological Administration","International Partners","buoy","y","n","n","n",1729843200000000000
40,6,,0.5,4,,,,,19.3,20.3,,,,"22102",34.79,125.78,0,"","Korean Meteorological Administration","International Partners","buoy","y","n","n","n",1729843200000000000
70,12,,1.5,5,,,,,21.8,22.2,,,,"22103",34,127.5,0,"","Korean Meteorological Administration","International Partners","buoy","y","n","n","n",1729843200000000000
50,12,,1,5,,,,,21,23.8,,,,"22104",34.77,128.9,0,"","Korean Meteorological Administration","International Partners","buoy","y","n","n","n",1729843200000000000
250,1,,0.5,6,,,,,20.8,20.3,,,,"22105",37.54,130,0,"","Korean Meteorological Administration","International Partners","buoy","y","n","n","n",1729843200000000000
30,6,,1,7,,,,,20,22.4,,,,"22106",36.35,129.78,0,"","Korean Meteorological Administration","International Partners","buoy","y","n","n","n",1729843200000000000
90,13,,1.5,7,,,,,23.1,25,,,,"22107",33.08,126.03,0,"","Korean Meteorological Administration","International Partners","buoy","y","n","n","n",1729843200000000000
60,4,,0.5,3,,,,,18.2,20.7,,,,"22108",36.25,125.75,0,"","Korean Meteorological Administration","International Partners","buoy","y","n","n","n",1729843200000000000
183,3.4,,,,,,1010,,29.1,30.4,,,,"23001",0,81,0,"","Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction","International Partners","buoy","y","n","n","n",1729839600000000000
32,3.9,,,,,,,,29.5,30.2,,,,"23003",-2,81,0,"","Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction","International Partners","buoy","y","n","n","n",1729839600000000000
237,3.3,4.1,,,,,,,28.7,,,,,"23019",-4,65,0,"","Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction","International Partners","buoy","y","n","n","n",1729839600000000000
88,8.3,10.1,,,,,,,25.7,26.7,,,,"31003",-8,-30,0,"Para?ba","Prediction and Research Moored Array in the Atlantic","International Partners","buoy","y","n","n","n",1729839600000000000
66,6.9,8.2,,,,,,,25.3,,,,,"31004",-14,-32,0,"Salvador","Prediction and Research Moored Array in the Atlantic","International Partners","buoy","y","n","n","n",1729839600000000000
3,8.7,,,,,,1015.1,,25.6,25.9,,,,"31005",-19,-34,0,"Espirito Santo","Prediction and Research Moored Array in the Atlantic","International Partners","buoy","y","n","n","n",1729843200000000000
,,,,,,,,,27.3,28.6,,,,"31006",4,-23,0,"NE Extension","Prediction and Research Moored Array in the Atlantic","International Partners","buoy","y","n","n","n",1729839600000000000
130,8,,,,,,1019.1,,,18.6,,,,"32ST0",-22,-85,0,"Stratus","Woods Hole Oceanographic Institution","IOOS Partners","fixed","y","n","y","n",1729841400000000000
20,6,7,,,,,1016.5,,23.6,25.3,19.5,,,"41002",31.759,-74.936,0,"SOUTH HATTERAS - 225 NM South of Cape Hatteras","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
10,4,5,,,,,1019,,23,26.2,20.7,,,"41004",32.502,-79.099,0,"EDISTO - 41 NM Southeast of Charleston, SC","NDBC","NDBC Meteorological/Ocean","other","y","n","n","n",1729843800000000000
230,2,2,,,7.6,86,1018.9,,22.5,22.3,22.1,,,"41008",31.4,-80.866,0,"GRAYS REEF - 40 NM Southeast of Savannah, GA","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
360,3,3,,,,,1018.7,,24.8,26.1,19.4,,,"41009",28.508,-80.185,0,"CANAVERAL 20 NM East of Cape Canaveral, FL","NDBC","NDBC Meteorological/Ocean","buoy","y","n","n","n",1729843800000000000
