#STN       LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text      deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
13001    12.000  -23.000 2024 10 18 23 00  75   5.9   7.1   MM  MM   MM  MM 1014.6    MM  27.0  27.9    MM   MM     MM
13009     8.000  -38.000 2024 10 18 21 00  12   7.7    MM   MM  MM   MM  MM     MM    MM  27.6  29.5    MM   MM     MM
15002     0.000  -10.000 2024 10 18 22 00 165   7.0    MM   MM  MM   MM  MM     MM    MM  25.4  25.8    MM   MM     MM
15009     0.000   -3.051 2024 10 18 22 00 183   5.2    MM   MM  MM   MM  MM     MM    MM  25.9  26.8    MM   MM     MM
1801593  37.36  -122.92  2024 10 18 22 30 327   9.4  10.7  2.2  11   MM  MM 1019.1    MM  14.1  14.0    14   MM     MM
22101    37.24   126.02  2024 10 18 23 00 360  12.0    MM  1.0   5   MM  MM     MM    MM  16.0  23.2    MM   MM     MM
22102    34.79   125.78  2024 10 18 23 00 360  11.0    MM  1.0   3   MM  MM     MM    MM  20.7  21.3    MM   MM     MM
22103    34.00   127.50  2024 10 18 23 00 270   6.0    MM  1.0   5   MM  MM     MM    MM  23.8  23.3    MM   MM     MM
22104    34.77   128.90  2024 10 18 23 00 250   7.0    MM  0.5   5   MM  MM     MM    MM  24.0  24.4    MM   MM     MM
22105    37.54   130.00  2024 10 18 23 00  30  15.0    MM  1.5   4   MM  MM     MM    MM  19.7  20.9    MM   MM     MM
22106    36.35   129.78  2024 10 18 23 00 360  10.0    MM  1.0   6   MM  MM     MM    MM  20.8  24.6    MM   MM     MM
22107    33.08   126.03  2024 10 18 23 00 320   9.0    MM  1.0   6   MM  MM     MM    MM  23.1  24.2    MM   MM     MM
22108    36.25   125.75  2024 10 18 23 00 350  12.0    MM  2.0   6   MM  MM     MM    MM  18.4  22.7    MM   MM     MM
31005   -19.000  -34.000 2024 10 18 22 00 355   5.5    MM   MM  MM   MM  MM 1014.4    MM  25.5  26.0    MM   MM     MM
32ST0   -22.000  -85.000 2024 10 18 22 30  70   2.0    MM   MM  MM   MM  MM 1015.5    MM    MM  18.9    MM   MM     MM
41002    31.759  -74.936 2024 10 18 23 00  30   8.0  10.0   MM  MM   MM  MM 1024.2  +0.7  23.0  25.7  17.2   MM     MM
41004    32.502  -79.099 2024 10 18 23 00  40   8.0  11.0   MM  MM   MM  MM 1029.0  +0.5  19.1  25.6  12.1   MM     MM
41008    31.400  -80.866 2024 10 18 23 00  40   9.0  12.0   MM  MM   MM  MM 1028.2  +0.0  20.0  23.1  13.3   MM     MM
41009    28.508  -80.185 2024 10 18 23 00  60  10.0  12.0   MM  MM   MM  MM 1023.6  -0.0  25.5  27.3  18.6   MM     MM
41010    28.878  -78.467 2024 10 18 23 00  50  10.0  13.0   MM  MM   MM  MM 1023.6  +0.0  24.7  27.0  18.5   MM     MM
41013    33.441  -77.764 2024 10 18 23 00  20   9.0  13.0   MM  MM   MM  MM 1028.9  +0.3  19.4  23.0  10.5   MM     MM
41024    33.837  -78.477 2024 10 18 22 08  10   5.0   6.0   MM  MM   MM  MM 1028.7    MM  19.7  20.9  10.1   MM     MM
41025    35.010  -75.454 2024 10 18 23 00  10  11.0  13.0   MM  MM   MM  MM 1028.6  +0.6    MM  22.0    MM   MM     MM
41029    32.803  -79.624 2024 10 18 22 08  70   5.0   7.0   MM  MM   MM  MM 1028.6    MM  18.6  20.3  10.6   MM     MM
41033    32.279  -80.406 2024 10 18 22 08  60   5.0   8.0   MM  MM   MM  MM 1028.4    MM  19.4  21.6  12.1   MM     MM
41037    33.988  -77.362 2024 10 18 22 08  20   6.0   9.0   MM  MM   MM  MM 1029.6    MM    MM  24.5    MM   MM     MM
41038    34.141  -77.715 2024 10 18 22 08 360   5.0   6.0   MM  MM   MM  MM 1029.1    MM  19.9  21.8   6.3   MM     MM
41040    14.536  -53.136 2024 10 18 23 00  80   7.0   9.0   MM  MM   MM  MM 1012.4  +1.4  29.4  30.0  27.5   MM     MM
41043    21.026  -64.793 2024 10 18 23 00 100  11.0  13.0   MM  MM   MM  MM 1013.6  -0.0  28.8  30.2  26.0   MM     MM
41044    21.582  -58.630 2024 10 18 23 00 120   6.0   8.0   MM  MM   MM  MM 1016.4  +0.3  27.3  29.9  25.8   MM     MM
41049    27.505  -62.271 2024 10 18 23 00 130   3.0   4.0   MM  MM   MM  MM 1019.1  +1.0  28.1  28.5  24.8   MM     MM
41052    18.249  -64.763 2024 10 18 22 00 120   4.0   5.0  0.9   8   MM  88 1011.8  +0.7  30.6  30.9    MM   MM     MM
41053    18.474  -66.099 2024 10 18 22 00  70   5.0   6.0  1.5   7   MM  60 1011.8  +0.6  29.8  30.9    MM   MM     MM
41056    18.261  -65.464 2024 10 18 22 00 110   4.0   6.0  0.7  15   MM  30 1011.5  +0.6  30.0  30.9    MM   MM     MM
41064    34.207  -76.949 2024 10 18 21 08  30   7.0  11.0   MM  MM   MM  MM 1029.1    MM  20.0  26.8  10.9   MM     MM
41065    32.802  -79.619 2024 10 18 22 10  MM    MM    MM  0.7  11  4.3 107     MM    MM    MM  20.0    MM   MM     MM
41066    32.536  -79.656 2024 10 18 22 08  70   7.0  10.0   MM  MM   MM  MM 1028.6    MM  18.7  22.4  10.5   MM     MM
41067    32.276  -80.406 2024 10 18 22 30  MM    MM    MM  0.8   5  4.7 103     MM    MM    MM  21.5    MM   MM     MM
41070    29.289  -80.803 2024 10 18 22 05  MM    MM    MM  1.5   6  4.9  69     MM    MM    MM  24.9    MM   MM     MM
41076    32.536  -79.659 2024 10 18 22 25  MM    MM    MM  1.1   6  4.7  73     MM    MM    MM    MM    MM   MM     MM
41082    35.950  -75.125 2024 10 18 21 00  30  10.0    MM   MM  MM   MM  MM 1022.2  +0.5  17.3    MM    MM   MM     MM
41083    35.725  -74.853 2024 10 18 21 00  20  10.0    MM   MM  MM   MM  MM 1028.0  +0.3  20.8    MM    MM   MM     MM
41108    33.721  -78.016 2024 10 18 23 00  MM    MM    MM  0.8  12  4.1  98     MM    MM  19.5  21.0    MM   MM     MM
41110    34.142  -77.715 2024 10 18 22 56  MM    MM    MM  0.9  11  5.5  93     MM    MM    MM  21.8    MM   MM     MM
41112    30.709  -81.292 2024 10 18 23 00  MM    MM    MM  2.3   6  5.3  55     MM    MM  20.3  22.7    MM   MM     MM
41113    28.400  -80.533 2024 10 18 22 56  MM    MM    MM  1.2   5  4.5  89     MM    MM    MM  25.1    MM   MM     MM
41114    27.552  -80.216 2024 10 18 22 56  MM    MM    MM  1.9   7  5.2  52     MM    MM    MM  25.9    MM   MM     MM
41115    18.376  -67.280 2024 10 18 22 56  MM    MM    MM  0.9  15  5.8   1     MM    MM    MM  30.7    MM   MM     MM
41117    29.999  -81.079 2024 10 18 22 56  MM    MM    MM  2.5   7  5.9  28     MM    MM    MM  24.6    MM   MM     MM
41120    35.258  -75.285 2024 10 18 22 30  MM    MM    MM  2.7  12   MM  MM     MM    MM    MM  21.6    MM   MM     MM
41122    26.001  -80.096 2024 10 18 22 56  MM    MM    MM  1.9   7  5.2  66     MM    MM    MM  27.7    MM   MM     MM
41159    34.213  -76.949 2024 10 18 22 56  MM    MM    MM  1.2  11  5.4  86     MM    MM    MM  23.5    MM   MM     MM
42001    25.926  -89.662 2024 10 18 23 00  70  10.0  13.0   MM  MM   MM  MM 1017.7  +0.4  26.5  27.5  21.8   MM     MM
42012    30.060  -87.548 2024 10 18 23 00  50   5.0   7.0   MM  MM   MM  MM 1026.4  +0.4  21.4  25.8  15.4   MM     MM
42019    27.908  -95.343 2024 10 18 23 00 100   9.0  11.0   MM  MM   MM  MM 1021.3  +0.0    MM  28.2    MM   MM     MM
42020    26.970  -96.679 2024 10 18 23 00 100   9.0  11.0   MM  MM   MM  MM 1019.5  +0.0  26.9  28.3  21.8   MM     MM
42026    25.171  -83.475 2024 10 18 22 35  80  13.0  16.0   MM  MM   MM  MM 1017.3    MM  26.2    MM  20.4   MM     MM
42035    29.235  -94.410 2024 10 18 23 00  90   9.0  11.0   MM  MM   MM  MM 1022.6  +0.0  23.4  25.4  17.5   MM     MM
42036    28.501  -84.508 2024 10 18 23 00  60  10.0  12.0   MM  MM   MM  MM 1023.5  +0.7  24.4    MM  18.7   MM     MM
42040    29.207  -88.237 2024 10 18 23 00  60   9.0  12.0   MM  MM   MM  MM 1025.3  +0.7  22.8    MM  16.2   MM     MM
42055    22.140  -94.112 2024 10 18 23 00  30   7.0   9.0   MM  MM   MM  MM 1017.1  +0.0  27.3  28.0  21.2   MM     MM
42056    19.820  -84.980 2024 10 18 23 00  90  11.0  14.0   MM  MM   MM  MM 1009.8  +0.3  27.3  29.7  25.6   MM     MM
42057    16.973  -81.575 2024 10 18 23 00  MM    MM    MM   MM  MM   MM  MM 1008.5  +0.8    MM  29.9    MM   MM     MM
42058    14.512  -75.153 2024 10 18 23 00  90   8.0  10.0   MM  MM   MM  MM 1008.5  -0.0  30.2  30.3  26.6   MM     MM
42060    16.434  -63.329 2024 10 18 23 00  80   7.0   8.0   MM  MM   MM  MM 1012.3  +0.6  30.1  30.5  26.3   MM     MM
42084    28.988  -89.649 2024 10 18 23 00  MM    MM    MM  1.1   4  3.5  47     MM    MM  22.8  24.8    MM   MM     MM
42085    17.870  -66.537 2024 10 18 22 00  50   3.0   4.0  0.4   6   MM 140 1011.4  -0.0  29.7  30.7    MM   MM     MM
42091    29.088  -92.505 2024 10 18 22 56  MM    MM    MM  1.5   6  4.7 120     MM    MM    MM  25.9    MM   MM     MM
42092    27.640  -97.012 2024 10 18 23 00  MM    MM    MM  1.5   6  4.5  96     MM    MM    MM  27.1    MM   MM     MM
42095    24.409  -81.968 2024 10 18 23 00  MM    MM    MM  1.7   5  4.4  85     MM    MM  25.6  28.4    MM   MM     MM
42098    27.590  -82.931 2024 10 18 22 56  MM    MM    MM  0.9   4  3.3  40     MM    MM    MM  25.0    MM   MM     MM
44007    43.525  -70.140 2024 10 18 23 00 130   2.0   3.0   MM  MM   MM  MM 1031.7  +0.9  13.4  12.3   7.2   MM     MM
44009    38.460  -74.692 2024 10 18 23 00  30   6.0   8.0   MM  MM   MM  MM 1031.1  +1.0  16.6  18.5   9.8   MM     MM
44011    41.093  -66.562 2024 10 18 23 00  30  10.0  13.0   MM  MM   MM  MM 1027.6  +2.3  13.8  13.6  11.7   MM     MM
44013    42.346  -70.651 2024 10 18 23 00  30   2.0   4.0   MM  MM   MM  MM 1032.2  +1.0  12.3  13.2   7.3   MM     MM
44014    36.603  -74.837 2024 10 18 23 00  20  10.0  13.0   MM  MM   MM  MM 1029.9  +1.1  17.2  18.8  13.2   MM     MM
44020    41.497  -70.283 2024 10 18 23 00  30   8.0  10.0   MM  MM   MM  MM 1030.7  +2.0  12.4  14.9   9.2   MM     MM
44025    40.258  -73.175 2024 10 18 23 00  10   4.0   5.0   MM  MM   MM  MM 1031.2  +1.0  16.9    MM   7.8   MM     MM
44027    44.284  -67.301 2024 10 18 23 00 300   3.0   3.0   MM  MM   MM  MM 1030.7  +1.5    MM  11.4    MM   MM     MM
44029    42.523  -70.566 2024 10 18 22 04  40   3.0   5.0  1.9  11   MM  MM 1030.7    MM  12.2    MM    MM  1.6     MM
44030    43.179  -70.426 2024 10 18 22 04 360   2.0   2.0  1.3  11   MM  MM 1031.3    MM  12.5  12.7    MM   MM     MM
44032    43.715  -69.355 2024 10 18 22 04 220   1.0   1.0  0.9  11   MM  MM 1031.4    MM  11.7    MM    MM  1.6     MM
44033    44.055  -68.996 2024 10 18 22 04 320   1.0   1.0  0.3  11   MM  MM 1029.7    MM  12.9  12.6    MM  1.6     MM
44034    44.103  -68.112 2024 10 18 22 04 160   2.0   3.0  0.9   5   MM  MM 1030.8    MM  11.3    MM    MM  1.6     MM
44041    37.211  -76.787 2024 10 18 23 00  30   2.0   2.0   MM  MM   MM  MM     MM    MM  13.5  17.9    MM   MM     MM
44042    38.033  -76.335 2024 10 18 23 00 340   5.0   6.0  0.1  MM   MM  MM     MM    MM  15.0  18.3    MM   MM     MM
44043    39.152  -76.391 2024 10 18 23 00 240   1.0   2.0  0.1  MM   MM  MM     MM    MM  15.1  17.0    MM   MM     MM
44056    36.200  -75.714 2024 10 18 22 56  MM    MM    MM  2.2  13  6.4  66     MM    MM    MM  19.6    MM   MM     MM
44058    37.567  -76.257 2024 10 18 23 00 340   6.0   8.0  0.3  18   MM  MM     MM    MM  16.2    MM    MM   MM     MM
44062    38.556  -76.415 2024 10 18 23 00  10   4.0   6.0  0.2  MM   MM  MM     MM    MM  16.0  18.4    MM   MM     MM
44064    36.998  -76.087 2024 10 18 23 00  20   8.0  10.0  1.2  11   MM  MM     MM    MM  15.5    MM    MM   MM     MM
44072    37.201  -76.266 2024 10 18 23 00  10   6.0   7.0   MM  MM   MM  MM     MM    MM  15.8  18.2    MM   MM     MM
44078    59.940  -39.520 2024 10 18 20 40  10   8.0    MM   MM  MM   MM  MM  991.1    MM   4.2   7.5    MM   MM     MM
44079    36.175  -74.827 2024 10 18 21 00  20  10.0    MM   MM  MM   MM  MM 1028.7  +0.6  18.1    MM    MM   MM     MM
44084    38.537  -75.044 2024 10 18 22 56  MM    MM    MM  1.6  13  6.8  71     MM    MM    MM  17.5    MM   MM     MM
44085    41.387  -71.032 2024 10 18 23 00  MM    MM    MM  1.1  11  5.0 141     MM    MM  13.3  16.0    MM   MM     MM
44086    36.001  -75.421 2024 10 18 22 56  MM    MM    MM  2.8  13  7.2  41     MM    MM    MM  20.3    MM   MM     MM
44087    37.026  -76.149 2024 10 18 22 56  MM    MM    MM  0.9  12  4.7 114     MM    MM    MM  18.2    MM   MM     MM
44088    36.612  -74.839 2024 10 18 22 30  MM    MM    MM  3.0  11   MM  MM     MM    MM  16.8  18.8    MM   MM     MM
44089    37.754  -75.325 2024 10 18 22 56  MM    MM    MM  2.0  11  6.7  79     MM    MM    MM  18.6    MM   MM     MM
44090    41.840  -70.329 2024 10 18 23 00  MM    MM    MM  0.8   4  3.3 357     MM    MM  12.0  14.8    MM   MM     MM
44091    39.768  -73.770 2024 10 18 22 56  MM    MM    MM  2.4  11  7.8  94     MM    MM    MM  17.6    MM   MM     MM
44095    35.750  -75.330 2024 10 18 22 56  MM    MM    MM  3.1  12  7.4  65     MM    MM    MM  20.4    MM   MM     MM
44097    40.967  -71.124 2024 10 18 22 56  MM    MM    MM  2.4  11  6.4 113     MM    MM    MM  16.9    MM   MM     MM
44098    42.800  -70.171 2024 10 18 22 56  MM    MM    MM  1.6  10  6.7 126     MM    MM    MM  12.4    MM   MM     MM
44099    36.915  -75.722 2024 10 18 21 56  MM    MM    MM  1.8  12  5.8  58     MM    MM    MM  19.2    MM   MM     MM
44100    36.258  -75.593 2024 10 18 23 00  MM    MM    MM  2.5  13  6.6  68     MM    MM  17.1  19.9    MM   MM     MM
44137    42.260  -62.030 2024 10 18 23 00  60  10.0  13.0  2.1   6   MM  MM 1027.0  +2.1  13.1  17.5    MM   MM     MM
44139    44.240  -57.100 2024 10 18 23 00 350  13.0  16.0  2.6   7   MM  MM 1025.0  +1.6  11.8  16.0    MM   MM     MM
44258    44.500  -63.400 2024 10 18 23 00  10   5.0   6.0  0.4   5   MM  MM 1029.4  +1.7  12.6  13.7    MM   MM     MM
44488    45.440  -60.950 2024 10 18 23 00  10   8.0   9.0  0.3   4   MM  MM 1028.5  +1.1   9.1  11.2    MM   MM     MM
44489    45.490  -61.140 2024 10 18 23 00  20   8.0   9.0  0.3   3   MM  MM 1028.5  +1.4   9.3  10.2    MM   MM     MM
45001    48.061  -87.793 2024 10 18 23 00 160   4.0   5.0   MM  MM   MM  MM 1021.8  -0.0  12.4    MM   9.7   MM     MM
45002    45.344  -86.411 2024 10 18 23 00 190  12.0  15.0   MM  MM   MM  MM 1028.7  +0.2  15.0  15.1   9.7   MM     MM
